tier,p,n,f,m,k,binomial,hypergeometric,divergence_binomial_minus_hyper
pristine,0.02,4,0.03125,1,1,0.020000,0.250000,-0.230000
pristine,0.02,4,0.0625,1,1,0.020000,0.250000,-0.230000
pristine,0.02,4,0.125,1,1,0.020000,0.250000,-0.230000
pristine,0.02,4,0.1875,1,1,0.020000,0.250000,-0.230000
pristine,0.02,4,0.25,1,1,0.020000,0.250000,-0.230000
pristine,0.02,4,0.375,2,1,0.039600,0.500000,-0.460400
pristine,0.02,4,0.5,2,1,0.039600,0.500000,-0.460400
pristine,0.02,4,0.75,3,1,0.058808,0.750000,-0.691192
pristine,0.02,4,1,4,1,0.077632,1.000000,-0.922368
pristine,0.02,8,0.03125,1,1,0.020000,0.125000,-0.105000
pristine,0.02,8,0.0625,1,1,0.020000,0.125000,-0.105000
pristine,0.02,8,0.125,1,1,0.020000,0.125000,-0.105000
pristine,0.02,8,0.1875,2,1,0.039600,0.250000,-0.210400
pristine,0.02,8,0.25,2,1,0.039600,0.250000,-0.210400
pristine,0.02,8,0.375,3,1,0.058808,0.375000,-0.316192
pristine,0.02,8,0.5,4,1,0.077632,0.500000,-0.422368
pristine,0.02,8,0.75,6,1,0.114158,0.750000,-0.635842
pristine,0.02,8,1,8,1,0.149237,1.000000,-0.850763
pristine,0.02,16,0.03125,1,1,0.020000,0.062500,-0.042500
pristine,0.02,16,0.0625,1,1,0.020000,0.062500,-0.042500
pristine,0.02,16,0.125,2,1,0.039600,0.125000,-0.085400
pristine,0.02,16,0.1875,3,1,0.058808,0.187500,-0.128692
pristine,0.02,16,0.25,4,1,0.077632,0.250000,-0.172368
pristine,0.02,16,0.375,6,1,0.114158,0.375000,-0.260842
pristine,0.02,16,0.5,8,1,0.149237,0.500000,-0.350763
pristine,0.02,16,0.75,12,1,0.215283,0.750000,-0.534717
pristine,0.02,16,1,16,1,0.276202,1.000000,-0.723798
pristine,0.02,32,0.03125,1,1,0.020000,0.031250,-0.011250
pristine,0.02,32,0.0625,2,1,0.039600,0.062500,-0.022900
pristine,0.02,32,0.125,4,1,0.077632,0.125000,-0.047368
pristine,0.02,32,0.1875,6,1,0.114158,0.187500,-0.073342
pristine,0.02,32,0.25,8,1,0.149237,0.250000,-0.100763
pristine,0.02,32,0.375,12,1,0.215283,0.375000,-0.159717
pristine,0.02,32,0.5,16,1,0.276202,0.500000,-0.223798
pristine,0.02,32,0.75,24,1,0.384220,0.750000,-0.365780
pristine,0.02,32,1,32,1,0.476117,1.000000,-0.523883
pristine,0.02,64,0.03125,2,2,0.039600,0.062004,-0.022404
pristine,0.02,64,0.0625,4,2,0.077632,0.122024,-0.044392
pristine,0.02,64,0.125,8,2,0.149237,0.236111,-0.086874
pristine,0.02,64,0.1875,12,2,0.215283,0.342262,-0.126979
pristine,0.02,64,0.25,16,2,0.276202,0.440476,-0.164274
pristine,0.02,64,0.375,24,2,0.384220,0.613095,-0.228876
pristine,0.02,64,0.5,32,2,0.476117,0.753968,-0.277851
pristine,0.02,64,0.75,48,2,0.620815,0.940476,-0.319662
pristine,0.02,64,1,64,2,0.725546,1.000000,-0.274454
mid,0.1,4,0.03125,1,1,0.100000,0.250000,-0.150000
mid,0.1,4,0.0625,1,1,0.100000,0.250000,-0.150000
mid,0.1,4,0.125,1,1,0.100000,0.250000,-0.150000
mid,0.1,4,0.1875,1,1,0.100000,0.250000,-0.150000
mid,0.1,4,0.25,1,1,0.100000,0.250000,-0.150000
mid,0.1,4,0.375,2,1,0.190000,0.500000,-0.310000
mid,0.1,4,0.5,2,1,0.190000,0.500000,-0.310000
mid,0.1,4,0.75,3,1,0.271000,0.750000,-0.479000
mid,0.1,4,1,4,1,0.343900,1.000000,-0.656100
mid,0.1,8,0.03125,1,1,0.100000,0.125000,-0.025000
mid,0.1,8,0.0625,1,1,0.100000,0.125000,-0.025000
mid,0.1,8,0.125,1,1,0.100000,0.125000,-0.025000
mid,0.1,8,0.1875,2,1,0.190000,0.250000,-0.060000
mid,0.1,8,0.25,2,1,0.190000,0.250000,-0.060000
mid,0.1,8,0.375,3,1,0.271000,0.375000,-0.104000
mid,0.1,8,0.5,4,1,0.343900,0.500000,-0.156100
mid,0.1,8,0.75,6,1,0.468559,0.750000,-0.281441
mid,0.1,8,1,8,1,0.569533,1.000000,-0.430467
mid,0.1,16,0.03125,1,2,0.100000,0.125000,-0.025000
mid,0.1,16,0.0625,1,2,0.100000,0.125000,-0.025000
mid,0.1,16,0.125,2,2,0.190000,0.241667,-0.051667
mid,0.1,16,0.1875,3,2,0.271000,0.350000,-0.079000
mid,0.1,16,0.25,4,2,0.343900,0.450000,-0.106100
mid,0.1,16,0.375,6,2,0.468559,0.625000,-0.156441
mid,0.1,16,0.5,8,2,0.569533,0.766667,-0.197134
mid,0.1,16,0.75,12,2,0.717570,0.950000,-0.232430
mid,0.1,16,1,16,2,0.814698,1.000000,-0.185302
mid,0.1,32,0.03125,1,4,0.100000,0.125000,-0.025000
mid,0.1,32,0.0625,2,4,0.190000,0.237903,-0.047903
mid,0.1,32,0.125,4,4,0.343900,0.430617,-0.086717
mid,0.1,32,0.1875,6,4,0.468559,0.584260,-0.115701
mid,0.1,32,0.25,8,4,0.569533,0.704505,-0.134972
mid,0.1,32,0.375,12,4,0.717570,0.865267,-0.147696
mid,0.1,32,0.5,16,4,0.814698,0.949388,-0.134690
mid,0.1,32,0.75,24,4,0.920234,0.998053,-0.077820
mid,0.1,32,1,32,4,0.965663,1.000000,-0.034337
mid,0.1,64,0.03125,2,7,0.190000,0.208333,-0.018333
mid,0.1,64,0.0625,4,7,0.343900,0.378305,-0.034405
mid,0.1,64,0.125,8,7,0.569533,0.626672,-0.057139
mid,0.1,64,0.1875,12,7,0.717570,0.784641,-0.067070
mid,0.1,64,0.25,16,7,0.814698,0.881476,-0.066778
mid,0.1,64,0.375,24,7,0.920234,0.969989,-0.049755
mid,0.1,64,0.5,32,7,0.965663,0.994582,-0.028919
mid,0.1,64,0.75,48,7,0.993637,0.999982,-0.006344
mid,0.1,64,1,64,7,0.998821,1.000000,-0.001179
high,0.25,4,0.03125,1,1,0.250000,0.250000,+0.000000
high,0.25,4,0.0625,1,1,0.250000,0.250000,+0.000000
high,0.25,4,0.125,1,1,0.250000,0.250000,+0.000000
high,0.25,4,0.1875,1,1,0.250000,0.250000,+0.000000
high,0.25,4,0.25,1,1,0.250000,0.250000,+0.000000
high,0.25,4,0.375,2,1,0.437500,0.500000,-0.062500
high,0.25,4,0.5,2,1,0.437500,0.500000,-0.062500
high,0.25,4,0.75,3,1,0.578125,0.750000,-0.171875
high,0.25,4,1,4,1,0.683594,1.000000,-0.316406
high,0.25,8,0.03125,1,2,0.250000,0.250000,+0.000000
high,0.25,8,0.0625,1,2,0.250000,0.250000,+0.000000
high,0.25,8,0.125,1,2,0.250000,0.250000,+0.000000
high,0.25,8,0.1875,2,2,0.437500,0.464286,-0.026786
high,0.25,8,0.25,2,2,0.437500,0.464286,-0.026786
high,0.25,8,0.375,3,2,0.578125,0.642857,-0.064732
high,0.25,8,0.5,4,2,0.683594,0.785714,-0.102121
high,0.25,8,0.75,6,2,0.822021,0.964286,-0.142264
high,0.25,8,1,8,2,0.899887,1.000000,-0.100113
high,0.25,16,0.03125,1,4,0.250000,0.250000,+0.000000
high,0.25,16,0.0625,1,4,0.250000,0.250000,+0.000000
high,0.25,16,0.125,2,4,0.437500,0.450000,-0.012500
high,0.25,16,0.1875,3,4,0.578125,0.607143,-0.029018
high,0.25,16,0.25,4,4,0.683594,0.728022,-0.044428
high,0.25,16,0.375,6,4,0.822021,0.884615,-0.062594
high,0.25,16,0.5,8,4,0.899887,0.961538,-0.061651
high,0.25,16,0.75,12,4,0.968324,0.999451,-0.031127
high,0.25,16,1,16,4,0.989977,1.000000,-0.010023
high,0.25,32,0.03125,1,8,0.250000,0.250000,+0.000000
high,0.25,32,0.0625,2,8,0.437500,0.443548,-0.006048
high,0.25,32,0.125,4,8,0.683594,0.704505,-0.020911
high,0.25,32,0.1875,6,8,0.822021,0.851471,-0.029449
high,0.25,32,0.25,8,8,0.899887,0.930077,-0.030190
high,0.25,32,0.375,12,8,0.968324,0.988024,-0.019700
high,0.25,32,0.5,16,8,0.989977,0.998776,-0.008799
high,0.25,32,0.75,24,8,0.998997,1.000000,-0.001003
high,0.25,32,1,32,8,0.999900,1.000000,-0.000100
high,0.25,64,0.03125,2,16,0.437500,0.440476,-0.002976
high,0.25,64,0.0625,4,16,0.683594,0.693756,-0.010162
high,0.25,64,0.125,8,16,0.899887,0.914746,-0.014859
high,0.25,64,0.1875,12,16,0.968324,0.978787,-0.010463
high,0.25,64,0.25,16,16,0.989977,0.995384,-0.005407
high,0.25,64,0.375,24,16,0.998997,0.999871,-0.000875
high,0.25,64,0.5,32,16,0.999900,0.999999,-0.000099
high,0.25,64,0.75,48,16,0.999999,1.000000,-0.000001
high,0.25,64,1,64,16,1.000000,1.000000,-0.000000
