stratum,set,segment,variant,class,score
smooth_gradient,calibration,0,honest,honest,0.998254
smooth_gradient,calibration,0,cheap_downscale,attack,0.948576
smooth_gradient,calibration,0,wrong_bitrate,attack,0.886524
smooth_gradient,calibration,0,frame_substitution,attack,0.185282
smooth_gradient,calibration,0,garbage,attack,0.000993
smooth_gradient,held_out,1,honest,honest,0.999313
smooth_gradient,held_out,1,cheap_downscale,attack,0.944844
smooth_gradient,held_out,1,wrong_bitrate,attack,0.881464
smooth_gradient,held_out,1,frame_substitution,attack,0.149425
smooth_gradient,held_out,1,garbage,attack,0.001055
smooth_gradient,calibration,2,honest,honest,0.999371
smooth_gradient,calibration,2,cheap_downscale,attack,0.948320
smooth_gradient,calibration,2,wrong_bitrate,attack,0.887837
smooth_gradient,calibration,2,frame_substitution,attack,0.170139
smooth_gradient,calibration,2,garbage,attack,0.001080
smooth_gradient,held_out,3,honest,honest,0.999534
smooth_gradient,held_out,3,cheap_downscale,attack,0.946560
smooth_gradient,held_out,3,wrong_bitrate,attack,0.885199
smooth_gradient,held_out,3,frame_substitution,attack,0.184670
smooth_gradient,held_out,3,garbage,attack,0.001091
smooth_gradient,calibration,4,honest,honest,0.999584
smooth_gradient,calibration,4,cheap_downscale,attack,0.947181
smooth_gradient,calibration,4,wrong_bitrate,attack,0.875256
smooth_gradient,calibration,4,frame_substitution,attack,0.178362
smooth_gradient,calibration,4,garbage,attack,0.001045
smooth_gradient,held_out,5,honest,honest,0.999545
smooth_gradient,held_out,5,cheap_downscale,attack,0.945168
smooth_gradient,held_out,5,wrong_bitrate,attack,0.871550
smooth_gradient,held_out,5,frame_substitution,attack,0.147830
smooth_gradient,held_out,5,garbage,attack,0.001024
smooth_gradient,calibration,6,honest,honest,0.999689
smooth_gradient,calibration,6,cheap_downscale,attack,0.948193
smooth_gradient,calibration,6,wrong_bitrate,attack,0.889570
smooth_gradient,calibration,6,frame_substitution,attack,0.153012
smooth_gradient,calibration,6,garbage,attack,0.001004
smooth_gradient,held_out,7,honest,honest,0.999646
smooth_gradient,held_out,7,cheap_downscale,attack,0.950586
smooth_gradient,held_out,7,wrong_bitrate,attack,0.891357
smooth_gradient,held_out,7,frame_substitution,attack,0.173570
smooth_gradient,held_out,7,garbage,attack,0.000980
high_detail,calibration,0,honest,honest,0.995447
high_detail,calibration,0,cheap_downscale,attack,0.979035
high_detail,calibration,0,wrong_bitrate,attack,0.883670
high_detail,calibration,0,frame_substitution,attack,0.335960
high_detail,calibration,0,garbage,attack,0.000227
high_detail,held_out,1,honest,honest,0.995932
high_detail,held_out,1,cheap_downscale,attack,0.976589
high_detail,held_out,1,wrong_bitrate,attack,0.875462
high_detail,held_out,1,frame_substitution,attack,0.296597
high_detail,held_out,1,garbage,attack,0.000240
high_detail,calibration,2,honest,honest,0.995214
high_detail,calibration,2,cheap_downscale,attack,0.973688
high_detail,calibration,2,wrong_bitrate,attack,0.885491
high_detail,calibration,2,frame_substitution,attack,0.264103
high_detail,calibration,2,garbage,attack,0.000262
high_detail,held_out,3,honest,honest,0.994541
high_detail,held_out,3,cheap_downscale,attack,0.971359
high_detail,held_out,3,wrong_bitrate,attack,0.891865
high_detail,held_out,3,frame_substitution,attack,0.231885
high_detail,held_out,3,garbage,attack,0.000290
high_detail,calibration,4,honest,honest,0.993616
high_detail,calibration,4,cheap_downscale,attack,0.968960
high_detail,calibration,4,wrong_bitrate,attack,0.900905
high_detail,calibration,4,frame_substitution,attack,0.200337
high_detail,calibration,4,garbage,attack,0.000336
high_detail,held_out,5,honest,honest,0.993422
high_detail,held_out,5,cheap_downscale,attack,0.964886
high_detail,held_out,5,wrong_bitrate,attack,0.893736
high_detail,held_out,5,frame_substitution,attack,0.164089
high_detail,held_out,5,garbage,attack,0.000396
high_detail,calibration,6,honest,honest,0.991504
high_detail,calibration,6,cheap_downscale,attack,0.962339
high_detail,calibration,6,wrong_bitrate,attack,0.897893
high_detail,calibration,6,frame_substitution,attack,0.195038
high_detail,calibration,6,garbage,attack,0.000467
high_detail,held_out,7,honest,honest,0.991363
high_detail,held_out,7,cheap_downscale,attack,0.963221
high_detail,held_out,7,wrong_bitrate,attack,0.900590
high_detail,held_out,7,frame_substitution,attack,0.194571
high_detail,held_out,7,garbage,attack,0.000571
high_motion,calibration,0,honest,honest,0.947996
high_motion,calibration,0,cheap_downscale,attack,0.925136
high_motion,calibration,0,wrong_bitrate,attack,0.701513
high_motion,calibration,0,frame_substitution,attack,0.193756
high_motion,calibration,0,garbage,attack,0.045783
high_motion,held_out,1,honest,honest,0.900524
high_motion,held_out,1,cheap_downscale,attack,0.905856
high_motion,held_out,1,wrong_bitrate,attack,0.532664
high_motion,held_out,1,frame_substitution,attack,0.124400
high_motion,held_out,1,garbage,attack,0.097792
high_motion,calibration,2,honest,honest,0.935792
high_motion,calibration,2,cheap_downscale,attack,0.929742
high_motion,calibration,2,wrong_bitrate,attack,0.539924
high_motion,calibration,2,frame_substitution,attack,0.146146
high_motion,calibration,2,garbage,attack,0.043704
high_motion,held_out,3,honest,honest,0.957067
high_motion,held_out,3,cheap_downscale,attack,0.931935
high_motion,held_out,3,wrong_bitrate,attack,0.475368
high_motion,held_out,3,frame_substitution,attack,0.120884
high_motion,held_out,3,garbage,attack,0.102795
high_motion,calibration,4,honest,honest,0.963616
high_motion,calibration,4,cheap_downscale,attack,0.940190
high_motion,calibration,4,wrong_bitrate,attack,0.500679
high_motion,calibration,4,frame_substitution,attack,0.128355
high_motion,calibration,4,garbage,attack,0.048463
high_motion,held_out,5,honest,honest,0.971032
high_motion,held_out,5,cheap_downscale,attack,0.940406
high_motion,held_out,5,wrong_bitrate,attack,0.480480
high_motion,held_out,5,frame_substitution,attack,0.126399
high_motion,held_out,5,garbage,attack,0.104872
high_motion,calibration,6,honest,honest,0.974431
high_motion,calibration,6,cheap_downscale,attack,0.941491
high_motion,calibration,6,wrong_bitrate,attack,0.537636
high_motion,calibration,6,frame_substitution,attack,0.134494
high_motion,calibration,6,garbage,attack,0.047950
high_motion,held_out,7,honest,honest,0.973759
high_motion,held_out,7,cheap_downscale,attack,0.938192
high_motion,held_out,7,wrong_bitrate,attack,0.439198
high_motion,held_out,7,frame_substitution,attack,0.118813
high_motion,held_out,7,garbage,attack,0.104468
